scope,Antibiotic,rank,feature,feature_base,feature_type,importance
all,gentamicin,10,gyra_d87y_identity,gyra_d87y,identity,0.016845647245645523
all,gentamicin,11,sul1_identity,sul1,identity,0.01596107706427574
all,gentamicin,12,aac_3_iid_lineage_match,aac_3_iid,lineage_match,0.015387536957859993
all,gentamicin,13,grda_lineage_match,grda,lineage_match,0.013802552595734596
all,gentamicin,14,aada22_identity,aada22,identity,0.01292364951223135
all,gentamicin,15,aph_4_ia_coverage,aph_4_ia,coverage,0.011796578764915466
all,gentamicin,16,aac_3_iid_identity,aac_3_iid,identity,0.011167033575475216
all,gentamicin,17,aac_3_via_identity,aac_3_via,identity,0.010878032073378563
all,gentamicin,18,blacarb_2_coverage,blacarb_2,coverage,0.010368126444518566
all,gentamicin,19,aac_3_via_lineage_match,aac_3_via,lineage_match,0.009575656615197659
all,gentamicin,20,aac_3_via_coverage,aac_3_via,coverage,0.009472565725445747
all,kanamycin,1,aph_6_ic_coverage,aph_6_ic,coverage,0.325736939907074
all,kanamycin,2,aph_3_iia_identity,aph_3_iia,identity,0.11459372937679291
all,kanamycin,3,aph_3_iia_coverage,aph_3_iia,coverage,0.09252359718084335
all,kanamycin,4,aph_3_iia_lineage_match,aph_3_iia,lineage_match,0.07861140370368958
all,kanamycin,5,aph_3_ia_coverage,aph_3_ia,coverage,0.06713429093360901
all,kanamycin,6,aph_3_ia_lineage_match,aph_3_ia,lineage_match,0.06590893119573593
all,kanamycin,7,aph_3_ia_identity,aph_3_ia,identity,0.059909887611866
all,kanamycin,8,ant_2_ia_identity,ant_2_ia,identity,0.055789265781641006
all,kanamycin,9,ant_2_ia_coverage,ant_2_ia,coverage,0.043357983231544495
all,kanamycin,10,aac_6_ib4_coverage,aac_6_ib4,coverage,0.018497716635465622
all,kanamycin,11,ant_2_ia_lineage_match,ant_2_ia,lineage_match,0.010754624381661415
all,kanamycin,12,grda_identity,grda,identity,0.009304835461080074
all,kanamycin,13,grda_coverage,grda,coverage,0.0032411213032901287
all,kanamycin,14,aac_3_iid_identity,aac_3_iid,identity,0.0028648816514760256
all,kanamycin,15,sul2_coverage,sul2,coverage,0.0024977289140224457
all,kanamycin,16,tet_a_coverage,tet_a,coverage,0.002434382913634181
all,kanamycin,17,blacmy_2_identity,blacmy_2,identity,0.0022907545790076256
all,kanamycin,18,aac_3_iid_coverage,aac_3_iid,coverage,0.002280056243762374
all,kanamycin,19,tet_a_identity,tet_a,identity,0.0022162022069096565
all,kanamycin,20,sul2_identity,sul2,identity,0.0021965820342302322
all,nalidixic acid,1,gyra_d87y_identity,gyra_d87y,identity,0.338032603263855
all,nalidixic acid,2,gyra_d87y_coverage,gyra_d87y,coverage,0.25221872329711914
all,nalidixic acid,3,gyra_d87y_lineage_match,gyra_d87y,lineage_match,0.08355211466550827
all,nalidixic acid,4,gyra_d87n_lineage_match,gyra_d87n,lineage_match,0.029745617881417274
all,nalidixic acid,5,gyra_d87n_coverage,gyra_d87n,coverage,0.02287045679986477
all,nalidixic acid,6,gyra_s83f_coverage,gyra_s83f,coverage,0.021416127681732178
all,nalidixic acid,7,gyra_d87n_identity,gyra_d87n,identity,0.019495515152812004
all,nalidixic acid,8,gyra_d87g_identity,gyra_d87g,identity,0.017428454011678696
all,nalidixic acid,9,gyra_s83y_identity,gyra_s83y,identity,0.01647774688899517
all,nalidixic acid,10,qnrb19_identity,qnrb19,identity,0.015185056254267693
all,nalidixic acid,11,gyra_d87g_coverage,gyra_d87g,coverage,0.012486443854868412
all,nalidixic acid,12,gyra_s83f_lineage_match,gyra_s83f,lineage_match,0.012261486612260342
all,nalidixic acid,13,qnrb19_coverage,qnrb19,coverage,0.012129034847021103
all,nalidixic acid,14,gyra_s83f_identity,gyra_s83f,identity,0.010888691060245037
all,nalidixic acid,15,gyra_s83y_coverage,gyra_s83y,coverage,0.010860699228942394
all,nalidixic acid,16,cata1_coverage,cata1,coverage,0.006911582313477993
